id,name_en,name_zh,name_ja
1,Bulbasaur,,フシギダネ
2,Ivysaur,,フシギソウ
3,Venusaur,,フシギバナ
4,Charmander,,ヒトカゲ
5,Charmeleon,,リザード
6,Charizard,,リザードン
7,Squirtle,,ゼニガメ
8,Wartortle,,カメール
9,Blastoise,,カメックス
10,Caterpie,,キャタピー
11,Metapod,,トランセル
12,Butterfree,,バタフリー
13,Weedle,,ビードル
14,Kakuna,,コクーン
15,Beedrill,,スピアー
16,Pidgey,,ポッポ
17,Pidgeotto,,ピジョン
18,Pidgeot,,ピジョット
19,Rattata,,コラッタ
20,Raticate,,ラッタ
21,Spearow,,オニスズメ
22,Fearow,,オニドリル
23,Ekans,,アーボ
24,Arbok,,アーボック
25,Pikachu,,ピカチュウ
26,Raichu,,ライチュウ
27,Sandshrew,,サンド
28,Sandslash,,サンドパン
29,Nidoran♀,,ニドラン♀
30,Nidorina,,ニドリーナ
31,Nidoqueen,,ニドクイン
32,Nidoran♂,,ニドラン♂
33,Nidorino,,ニドリーノ
34,Nidoking,,ニドキング
35,Clefairy,,ピッピ
36,Clefable,,ピクシー
37,Vulpix,,ロコン
38,Ninetales,,キュウコン
39,Jigglypuff,,プリン
40,Wigglytuff,,プクリン
41,Zubat,,ズバット
42,Golbat,,ゴルバット
43,Oddish,,ナゾノクサ
44,Gloom,,クサイハナ
45,Vileplume,,ラフレシア
46,Paras,,パラス
47,Parasect,,パラセクト
48,Venonat,,コンパン
49,Venomoth,,モルフォン
50,Diglett,,ディグダ
51,Dugtrio,,ダグトリオ
52,Meowth,,ニャース
53,Persian,,ペルシアン
54,Psyduck,,コダック
55,Golduck,,ゴルダック
56,Mankey,,マンキー
57,Primeape,,オコリザル
58,Growlithe,,ガーディ
59,Arcanine,,ウインディ
60,Poliwag,,ニョロモ
61,Poliwhirl,,ニョロゾ
62,Poliwrath,,ニョロボン
63,Abra,,ケーシィ
64,Kadabra,,ユンゲラー
65,Alakazam,,フーディン
66,Machop,,ワンリキー
67,Machoke,,ゴーリキー
68,Machamp,,カイリキー
69,Bellsprout,,マダツボミ
70,Weepinbell,,ウツドン
71,Victreebel,,ウツボット
72,Tentacool,,メノクラゲ
73,Tentacruel,,ドククラゲ
74,Geodude,,イシツブテ
75,Graveler,,ゴローン
76,Golem,,ゴローニャ
77,Ponyta,,ポニータ
78,Rapidash,,ギャロップ
79,Slowpoke,,ヤドン
80,Slowbro,,ヤドラン
81,Magnemite,,コイル
82,Magneton,,レアコイル
83,Farfetch’d,,カモネギ
84,Doduo,,ドードー
85,Dodrio,,ドードリオ
86,Seel,,パウワウ
87,Dewgong,,ジュゴン
88,Grimer,,ベトベター
89,Muk,,ベトベトン
90,Shellder,,シェルダー
91,Cloyster,,パルシェン
92,Gastly,,ゴース
93,Haunter,,ゴースト
94,Gengar,,ゲンガー
95,Onix,,イワーク
96,Drowzee,,スリープ
97,Hypno,,スリーパー
98,Krabby,,クラブ
99,Kingler,,キングラー
100,Voltorb,,ビリリダマ
101,Electrode,,マルマイン
102,Exeggcute,,タマタマ
103,Exeggutor,,ナッシー
104,Cubone,,カラカラ
105,Marowak,,ガラガラ
106,Hitmonlee,,サワムラー
107,Hitmonchan,,エビワラー
108,Lickitung,,ベロリンガ
109,Koffing,,ドガース
